MsOfDay, Time,Price,Size
34201006,9:30:1:6,48.01,18749
34201380,9:30:1:380,48.01,4
34204083,9:30:4:83,48.01,366
34207861,9:30:7:861,48,1
34213788,9:30:13:788,48.1,100
34214424,9:30:14:424,48.1,82
34216388,9:30:16:388,48.1,4
34219236,9:30:19:236,48.1,5
34220021,9:30:20:21,48.01,56
34220021,9:30:20:21,48.01,56
34263069,9:31:3:69,48.02,100
34265007,9:31:5:7,48.07,25
34265007,9:31:5:7,48.07,25
34265007,9:31:5:7,48.07,75
34265007,9:31:5:7,48.07,25
34265007,9:31:5:7,48.07,7
34265007,9:31:5:7,48.07,93
34265007,9:31:5:7,48.07,7
34265007,9:31:5:7,48.07,93
34265007,9:31:5:7,48.08,7
34265008,9:31:5:8,48.08,93
34265008,9:31:5:8,48.07,100
34265008,9:31:5:8,48.09,57
34265008,9:31:5:8,48.07,100
34265008,9:31:5:8,48.07,100
34265008,9:31:5:8,48.07,100
34265008,9:31:5:8,48.07,100
34265008,9:31:5:8,48.07,100
34265008,9:31:5:8,48.07,75
34265008,9:31:5:8,48.08,100
34265014,9:31:5:14,48.08,100
34272871,9:31:12:871,48.09,100
34272871,9:31:12:871,48.09,43
34272872,9:31:12:872,48.09,100
34272872,9:31:12:872,48.09,100
34272872,9:31:12:872,48.09,100
34293937,9:31:33:937,48.03,1
34294103,9:31:34:103,48.085,1
34294248,9:31:34:248,48.085,1
34298018,9:31:38:18,48.03,4
34314388,9:31:54:388,48.06,100
34314388,9:31:54:388,48.045,100
34314388,9:31:54:388,48.05,300
34314414,9:31:54:414,48.03,94
34314414,9:31:54:414,48.03,6
34314414,9:31:54:414,48.03,100
34314416,9:31:54:416,48.03,94
34314416,9:31:54:416,48.02,100
34314417,9:31:54:417,48.03,100
34314419,9:31:54:419,48.055,200
34314420,9:31:54:420,48.05,300
34314422,9:31:54:422,48.03,200
34314425,9:31:54:425,48.03,300
34314426,9:31:54:426,48.05,300
34314824,9:31:54:824,48.04,100
34314886,9:31:54:886,48.03,100
34328011,9:32:8:11,48.04,100
34333887,9:32:13:887,48.025,100
34333898,9:32:13:898,48.04,200
34333898,9:32:13:898,48.05,100
34333899,9:32:13:899,48.05,100
34333899,9:32:13:899,48.05,200
34333899,9:32:13:899,48.05,100
34333899,9:32:13:899,48.05,100
34333899,9:32:13:899,48.05,400
34333901,9:32:13:901,48.05,100
34356383,9:32:36:383,48.01,1
34363877,9:32:43:877,48.0608,2081
34366564,9:32:46:564,48.0392,8
34384386,9:33:4:386,48.03,200
34393397,9:33:13:397,48.05,100
34393400,9:33:13:400,48.05,100
34393403,9:33:13:403,48.05,100
34395254,9:33:15:254,48.05,200
34395259,9:33:15:259,48,36
34395270,9:33:15:270,48.05,200
34395273,9:33:15:273,48.0125,100
34395273,9:33:15:273,48.025,100
34395274,9:33:15:274,48.01,100
34395274,9:33:15:274,48.01,5
34395286,9:33:15:286,48,95
34395434,9:33:15:434,48.05,200
34395442,9:33:15:442,48.05,100
34395452,9:33:15:452,48.05,100
34395471,9:33:15:471,48.05,200
34396565,9:33:16:565,48.05,200
34396576,9:33:16:576,48.05,1400
34401566,9:33:21:566,48.05,1
34404790,9:33:24:790,48.03,25
34405267,9:33:25:267,48.05,7
34409725,9:33:29:725,48.01,1
34421943,9:33:41:943,48.01,1
34422344,9:33:42:344,48.05,1
34422532,9:33:42:532,48.04,10
34422543,9:33:42:543,48.05,400
34422547,9:33:42:547,48.05,300
34425286,9:33:45:286,48.05,100
34426277,9:33:46:277,48.04,100
34426399,9:33:46:399,48.05,100
34432231,9:33:52:231,48.0425,100
34438322,9:33:58:322,48.04,6
34438322,9:33:58:322,48.04,94
34438323,9:33:58:323,48.02,94
34438323,9:33:58:323,48.02,6
34438331,9:33:58:331,48.04,100
34438598,9:33:58:598,48.015,300
34438598,9:33:58:598,48.015,100
34438835,9:33:58:835,48.03,100
34440172,9:34:0:172,48.0225,200
34440223,9:34:0:223,48.03,100
34440279,9:34:0:279,48.03,100
34441585,9:34:1:585,48.03,208
34441585,9:34:1:585,48.03,592
34441586,9:34:1:586,48.03,100
34441586,9:34:1:586,48.03,100
34441586,9:34:1:586,48.03,100
34441586,9:34:1:586,48.04,100
34441586,9:34:1:586,48.04,100
34441586,9:34:1:586,48.03,100
34441586,9:34:1:586,48.03,200
34441587,9:34:1:587,48.04,150
34441588,9:34:1:588,48.04,99
34441589,9:34:1:589,48.04,62
34441589,9:34:1:589,48.04,38
34442103,9:34:2:103,48.01,1
34442942,9:34:2:942,48.05,300
34442943,9:34:2:943,48.05,100
34442944,9:34:2:944,48.06,12
34442944,9:34:2:944,48.05,100
